"sample","group"
"GSM2934481","Normal"
"GSM2934482","Tumor"
"GSM2934483","Normal"
"GSM2934484","Tumor"
"GSM2934485","Normal"
"GSM2934486","Tumor"
"GSM2934487","Normal"
"GSM2934488","Tumor"
"GSM2934489","Normal"
"GSM2934490","Tumor"
"GSM2934491","Normal"
"GSM2934492","Tumor"
"GSM2934493","Normal"
"GSM2934494","Tumor"
"GSM2934495","Normal"
"GSM2934496","Tumor"
"GSM2934497","Normal"
"GSM2934498","Tumor"
"GSM2934499","Normal"
"GSM2934500","Tumor"
"GSM2934501","Normal"
"GSM2934502","Tumor"
"GSM2934503","Normal"
"GSM2934504","Tumor"
"GSM2934505","Normal"
"GSM2934506","Tumor"
"GSM2934507","Normal"
"GSM2934508","Tumor"
"GSM2934509","Normal"
"GSM2934510","Tumor"
"GSM2934511","Normal"
"GSM2934512","Tumor"
"GSM2934513","Normal"
"GSM2934514","Tumor"
"GSM2934515","Normal"
"GSM2934516","Tumor"
"GSM2934517","Normal"
"GSM2934518","Tumor"
"GSM2934519","Normal"
"GSM2934520","Tumor"
"GSM2934521","Normal"
"GSM2934522","Tumor"
"GSM2934523","Normal"
"GSM2934524","Tumor"
"GSM2934525","Normal"
"GSM2934526","Tumor"
"GSM2934527","Normal"
"GSM2934528","Tumor"
"GSM2934529","Normal"
"GSM2934530","Tumor"
