"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3901361","CST1",3.522,7.1102,8.9886282614125,4.2851684874181e-12,2.6626669076869e-10,17.3571792436062
"3939470","MMP11",3.172,8.6504,11.933721516011,2.21670030259949e-16,8.45715499447758e-14,27.0744360038965
"3444043","OLR1",2.7464,7.7624,12.3657957197817,5.70718480105538e-17,2.53186644802168e-14,28.4054675429102
"2773958","CXCL10",2.7172,8.7626,6.92295956533277,7.19553794177731e-09,1.34967632032787e-07,10.0360979292
"3756193","TOP2A",2.6616,6.3116,9.52257129539139,6.64008405675333e-13,5.75755652121029e-11,19.1961924315857
"2773947","CXCL9",2.634,8.1246,5.6344242104321,7.61828106513066e-07,7.26995145564945e-06,5.46038445046447
"3178583","CKS2",2.6016,7.3804,9.7204583070178,3.35283749247441e-13,3.34862450295507e-11,19.8699204208408
"3881443","TPX2",2.5312,6.8324,11.8236311192117,3.14430935574549e-16,1.13171406170191e-13,26.7312629674349
"3629103","PCLAF",2.5312,5.7808,9.45901066606119,8.2773092313677e-13,6.89510702609477e-11,18.9788640621536
"2425756","COL11A1",2.5124,6.721,8.9921555539926,4.23230560003449e-12,2.64706431561501e-10,17.3694236327683
