"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"43427_at",-1949.5416744186,1445.79647906977,-9.4496210270718,6.54317504324788e-15,8.7862909056377e-11,-4.21514218556165
"49452_at",-2645.65601860465,2374.59596744186,-9.40957960328922,7.88609334976233e-15,8.7862909056377e-11,-4.21676140098093
"203548_s_at",-3561.4558627907,2560.38565,-9.25303425200499,1.63661570810503e-14,1.21562359412348e-10,-4.22316016133976
"207092_at",-2439.53672093023,1635.74252790698,-9.11610508901778,3.10033676776494e-14,1.72712010490265e-10,-4.22884632514453
"219140_s_at",-2910.60338372093,1756.58399651163,-9.03969832394092,4.4284881979041e-14,1.97360005027794e-10,-4.23205538295427
"209699_x_at",-4107.89393953488,3408.4834255814,-8.90466934905897,8.31584566807645e-14,3.08836648369579e-10,-4.2377897954658
"215695_s_at",-2692.13434418605,2080.53973488372,-8.74705436919074,1.73484753286233e-13,5.52251536782447e-10,-4.24458526042139
"203980_at",-5179.06234883721,5368.09138372093,-8.71334630100837,2.03021089417341e-13,5.65489866935826e-10,-4.2460527537978
"205382_s_at",-4092.26366046512,2848.98001860465,-8.65328124256812,2.68650766580366e-13,6.65149447967811e-10,-4.24868006079208
"207175_at",-4117.25534883721,3796.40830232558,-8.6146417692863,3.2168106703525e-13,7.16801921674648e-10,-4.2503785368895
"210964_s_at",-1752.2353255814,1271.05043023256,-8.58641593368584,3.66916888897251e-13,7.43273548663403e-10,-4.2516233814666
"205913_at",-3188.12220930232,2508.74273255814,-8.53503236827244,4.66196336276818e-13,8.65687746771361e-10,-4.25389846363158
"204388_s_at",-1124.75342790698,981.903309302326,-8.50109491061795,5.4606078465429e-13,9.35990189573196e-10,-4.25540738773448
"218087_s_at",-2470.96604883721,1870.22225465116,-8.47442305558476,6.18301719384893e-13,9.84115515218111e-10,-4.25659677453667
"210201_x_at",-1094.5698372093,1246.01529069767,-8.35921451671996,1.05719395696176e-12,1.57049686286526e-09,-4.26176960318862
"219295_s_at",-2285.70115581395,1740.68093372093,-8.32211938017088,1.25636158538871e-12,1.67259777153121e-09,-4.26344730751093
"209771_x_at",3195.35251162791,3276.16653488372,8.31877737395717,1.2760473058399e-12,1.67259777153121e-09,-4.26359874590136
"203549_s_at",-3731.30534883721,4362.99313953488,-8.26575064313008,1.6329480568184e-12,1.97200791661765e-09,-4.26600795872594
"204894_s_at",-1866.35923255814,1679.59936046512,-8.25945316112125,1.6814679538543e-12,1.97200791661765e-09,-4.26629487396171
"218168_s_at",-887.763434883721,748.62471744186,-8.20631125928284,2.15259674555422e-12,2.3253686433404e-09,-4.26872274059429
"213524_s_at",-2971.27904651163,3178.22652325581,-8.20245859077608,2.19147967105634e-12,2.3253686433404e-09,-4.26889922060734
"212741_at",-2521.20119069767,1841.46626511628,-8.17918690521567,2.4417047748969e-12,2.47311397722853e-09,-4.2699665651847
"203571_s_at",-984.611190697674,707.750502325581,-8.16097871906852,2.65719564815667e-12,2.57436046208152e-09,-4.27080326780926
"221009_s_at",-329.483376744186,261.714334883721,-8.1154629337775,3.28250712543518e-12,3.03885386217484e-09,-4.27290090764436
"205220_at",-722.542953488372,700.814755813954,-8.10729237842137,3.40938592444334e-12,3.03885386217484e-09,-4.27327837555704
"219398_at",-2918.4251627907,3287.78672093023,-8.02375035889695,5.02323978113613e-12,4.30510969396371e-09,-4.27715387740151
"204151_x_at",-4485.93886046512,4535.65096511628,-7.98573624554934,5.99109214202624e-12,4.92162919149417e-09,-4.27892693305332
"205478_at",-1248.34541162791,774.051612790698,-7.97888491973873,6.18433861517017e-12,4.92162919149417e-09,-4.27924712705699
"219738_s_at",-559.963704651163,502.338380232558,-7.9246834193816,7.94907297893227e-12,6.10790321343268e-09,-4.28178700987105
"222317_at",-716.584564883721,416.152205930233,-7.91554278193998,8.29265381276082e-12,6.15950683032497e-09,-4.28221652560341
"204570_at",-934.192790697675,742.174155813953,-7.84736091864064,1.13680914211772e-11,8.1714574560675e-09,-4.28543109521879
"201839_s_at",1866.17520930233,1587.56337209302,7.83219469424599,1.21938089769521e-11,8.49108266979447e-09,-4.28614869659317
"219064_at",-1567.68727906977,1571.2051744186,-7.81105314544215,1.34454644171032e-11,8.88843093310586e-09,-4.2871505707831
"216379_x_at",2869.2831627907,3510.73981395349,7.80736623197936,1.36764943623168e-11,8.88843093310586e-09,-4.28732547341179
"209496_at",-1438.41586511628,1141.23453488372,-7.80290877438935,1.39610951244763e-11,8.88843093310586e-09,-4.28753700253947
"221748_s_at",-3169.02355813954,4025.47891860465,-7.79242102261122,1.4654206486836e-11,8.9616814326328e-09,-4.28803501407587
"202286_s_at",2752.39290232558,2352.42545581395,7.78910363542556,1.48805014139664e-11,8.9616814326328e-09,-4.28819263210654
"209555_s_at",-3490.69043488372,3209.09092209302,-7.77821374147707,1.56481082917823e-11,9.17596834383642e-09,-4.2887103497515
"203323_at",-2423.98404651163,2988.65586046512,-7.75076575638246,1.77623890508465e-11,1.01487003902567e-08,-4.29001735654306
"216594_x_at",-3178.2268372093,3546.5968372093,-7.73436072719978,1.91594941846179e-11,1.0673275222896e-08,-4.29079995500528
"209493_at",-1408.60718604651,1473.63554651163,-7.70848736528312,2.15886136385324e-11,1.17331482367663e-08,-4.29203640464167
"209612_s_at",-3487.21151162791,3259.70791860465,-7.61593112259074,3.30719090637237e-11,1.7546222611118e-08,-4.29648106033593
"204719_at",-1622.61916046512,1418.88930348837,-7.60557683098284,3.46864510787064e-11,1.79748416136468e-08,-4.29698036102118
"208510_s_at",-472.701227906977,412.631390697674,-7.59927134914179,3.57078556447651e-11,1.80835942575523e-08,-4.29728462473
"221928_at",-1101.25405348837,960.353368604651,-7.59342520562227,3.66815782371705e-11,1.81639023968638e-08,-4.2975668607933
"214505_s_at",-1082.32279302326,931.983210465116,-7.57867026048129,3.92582685992166e-11,1.88388315790094e-08,-4.29827977574312
"218723_s_at",-996.805720930232,1152.39806976744,-7.57604388103989,3.97354523274893e-11,1.88388315790094e-08,-4.29840676242116
"214456_x_at",-2811.6537627907,2017.05874651163,-7.56428802743087,4.19431005014143e-11,1.94712105931878e-08,-4.2989754881908
"214414_x_at",-4092.50253488372,3677.67687209302,-7.54162232017262,4.65498606031427e-11,2.11687866085679e-08,-4.30007350641292
"209613_s_at",-2698.82099069767,2681.78387674419,-7.49142321522215,5.86235485390448e-11,2.54027970864725e-08,-4.30251231759112
"209763_at",-1684.42890697674,2434.91605813953,-7.489070606405,5.92601912142223e-11,2.54027970864725e-08,-4.30262684791392
"208383_s_at",-1305.60742790698,1021.54155116279,-7.48899629189038,5.92804132521011e-11,2.54027970864725e-08,-4.30263046605283
"219737_s_at",-724.808288372093,662.460041860465,-7.47899272251116,6.20661459334902e-11,2.60947156572823e-08,-4.30311769818755
"204042_at",-1623.20409302326,2460.111,-7.41081329461935,8.48504659309693e-11,3.5013387635922e-08,-4.30644841580487
"212097_at",-3009.10439534884,3553.78208139535,-7.35778375852215,1.08173511882636e-10,4.38260066414687e-08,-4.30905093726693
"266_s_at",2370.62861860465,1587.79612093023,7.33014055599081,1.22755759673328e-10,4.88458320142994e-08,-4.3104116586666
"211696_x_at",-5028.4016744186,4896.9703255814,-7.30169230548528,1.39804329745248e-10,5.46536821002344e-08,-4.31181490012681
"210517_s_at",-1623.21828837209,1851.26548372093,-7.2641977212845,1.65917864091799e-10,6.37439269923715e-08,-4.31366880502932
"203853_s_at",-617.210697674419,958.555,-7.25539077326574,1.72723374556672e-10,6.52338128007852e-08,-4.31410498874375
"203324_s_at",-1050.49335581395,1106.52660116279,-7.23154597149618,1.92573714625438e-10,7.15186680499773e-08,-4.31528733564883
"218736_s_at",-1390.53306976744,1330.78272093023,-7.19714973965989,2.2526469853746e-10,8.22880865165609e-08,-4.31699640363762
"202931_x_at",-535.328162790698,541.63261627907,-7.1896201667761,2.33126072004217e-10,8.33982129301275e-08,-4.31737108262779
"209160_at",-1615.71163023256,1240.85659651163,-7.18712668203213,2.35789050603511e-10,8.33982129301275e-08,-4.31749520441231
"203414_at",-1863.25706976744,2604.74555813953,-7.18085047912152,2.42626408266006e-10,8.44756914904909e-08,-4.31780771969106
"202988_s_at",451.951593023256,357.096815116279,7.15832610374125,2.6882692303742e-10,9.21580050160436e-08,-4.31893041538531
"212419_at",-906.607325581395,1377.41515116279,-7.15158210102865,2.77204996668751e-10,9.33716295986458e-08,-4.3192669014065
"209116_x_at",-4812.90922325581,3493.39432790698,-7.14879114605344,2.8074761850331e-10,9.33716295986458e-08,-4.31940619940449
"213706_at",-1074.93151860465,767.760673255814,-7.14501126294402,2.85617312139307e-10,9.35942730352966e-08,-4.31959489798029
"211653_x_at",-2104.62494883721,1612.19717674419,-7.13776588295818,2.95187434171973e-10,9.53284289225228e-08,-4.31995673742528
"209298_s_at",-705.333291627907,572.861137906977,-7.12197757219477,3.17158954284148e-10,1.00960756833052e-07,-4.32074583889514
"206488_s_at",-3057.834,3250.79997674419,-7.08018143574067,3.83480937650581e-10,1.20353601882647e-07,-4.32283890119524
"203065_s_at",-1621.52851162791,1445.60809302326,-7.07241373835622,3.97244724599243e-10,1.22941724975624e-07,-4.32322854003077
"213068_at",-1454.39329534884,1191.4287244186,-7.04380087837536,4.52310844518274e-10,1.38066336279462e-07,-4.32466554093151
"200944_s_at",2014.17088372093,4035.50269767442,7.01803285526495,5.08353517916615e-10,1.51670179023834e-07,-4.3259619914087
"32837_at",-1159.20681395349,2115.07394186047,-7.01710697084248,5.104906622442e-10,1.51670179023834e-07,-4.32600861556378
"213005_s_at",-1171.38767441861,1770.96488372093,-6.99198953993288,5.71995978459326e-10,1.67707715631699e-07,-4.32727450817645
"209210_s_at",-2567.05088372093,3541.70034883721,-6.98033436727239,6.02981886208008e-10,1.74496693121728e-07,-4.32786261501555
"209686_at",-582.505834883721,531.650431395349,-6.96744605811023,6.3918875348297e-10,1.8260311530591e-07,-4.32851345657391
"203680_at",-1709.32489534884,1813.29490813953,-6.92618663502923,7.70241078015706e-10,2.17256733435747e-07,-4.33060058535408
"209614_at",-735.062065116279,614.269265116279,-6.92066033567436,7.89708323657852e-10,2.19963382200849e-07,-4.33088054771381
"218237_s_at",1473.13509302326,1473.85656976744,6.89902353047803,8.70738651491777e-10,2.39539128039399e-07,-4.33197759566754
"205498_at",-1495.48646511628,2059.68681395349,-6.8949263062216,8.8698684045854e-10,2.41033265438264e-07,-4.33218550230374
"218124_at",-1868.91265116279,2336.77953488372,-6.885915235498,9.23787521959609e-10,2.46558131051011e-07,-4.33264293834037
"204134_at",-511.685813953488,620.774046511628,-6.8845609623665,9.29447695924468e-10,2.46558131051011e-07,-4.332711708269
"212636_at",-1013.21255813953,1478.7353255814,-6.86133308057413,1.03206132755393e-09,2.70557912492756e-07,-4.33389210570271
"58780_s_at",-693.768109302326,680.599526744186,-6.85191996490152,1.07677658586356e-09,2.78997821660439e-07,-4.33437093739378
"217232_x_at",-4011.5678372093,3661.96115116279,-6.84705784296653,1.10062046027367e-09,2.81897996738829e-07,-4.33461837323443
"201540_at",-3634.02341860465,5071.8555,-6.82952020199274,1.19105840588371e-09,3.01594937026211e-07,-4.33551147357706
"220061_at",-456.867334883721,434.288790697674,-6.81818675798392,1.25338395164703e-09,3.13810725781469e-07,-4.33608912465104
"201348_at",-3401.82830232558,3742.96256976744,-6.80790620653133,1.31271124667911e-09,3.25012718997229e-07,-4.33661344737121
"209183_s_at",-959.666981395349,869.487020930233,-6.78972992317358,1.42449546821191e-09,3.48813544155671e-07,-4.337541241548
"202942_at",-606.129251162791,605.540230232558,-6.76437716345377,1.59633830687007e-09,3.86643548825933e-07,-4.33883699930922
"209512_at",-475.412674418605,454.225995348837,-6.74627964281803,1.73142621245269e-09,4.10558095227634e-07,-4.33976310944929
"200878_at",-1858.64489069767,2139.85074069767,-6.74621558712866,1.73192393086198e-09,4.10558095227634e-07,-4.33976638909755
"204997_at",-834.609779069768,546.451573255814,-6.72678053657316,1.8896757168422e-09,4.4323835787784e-07,-4.34076201516674
"213348_at",-1354.912,1979.12381395349,-6.71473012715558,1.99455597514654e-09,4.6296552910615e-07,-4.34137988822929
"221747_at",-1471.56879069767,1573.89481395349,-6.68376709286353,2.2912426228867e-09,5.26348034698808e-07,-4.34296939874506
"206068_s_at",-544.012160465116,578.126426744186,-6.66718567029581,2.46769670343321e-09,5.60967302034826e-07,-4.34382173804888
"200606_at",1556.09337209302,2617.33703488372,6.66496819203177,2.49229290945778e-09,5.60967302034826e-07,-4.34393578236246
"204223_at",-1132.72453255814,1141.80798953488,-6.66108352664752,2.53596837128091e-09,5.65089832172525e-07,-4.34413560289962
"203337_x_at",-1109.44859069767,1048.84839534884,-6.6448103996678,2.72732021697826e-09,6.01711647474522e-07,-4.34497312277144
"35776_at",-1535.66339534884,2448.31248837209,-6.63162964401564,2.89273918757311e-09,6.31950071732271e-07,-4.34565202816558
"221246_x_at",-1100.0503255814,1585.87106976744,-6.61353331701805,3.13614752804869e-09,6.78473547257368e-07,-4.34658490020789
"209513_s_at",-805.334153488372,837.950290697674,-6.59609859605532,3.3898104099626e-09,7.19886159835608e-07,-4.34748451076966
"201539_s_at",-496.414323255814,562.50923372093,-6.59594160207112,3.39218448066862e-09,7.19886159835608e-07,-4.34749261520945
"205610_at",-606.481946511628,556.304770930233,-6.58876969843842,3.50241228102986e-09,7.36266536398004e-07,-4.34786291845244
