"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203980_at","FABP4",-5179.06234883721,5368.09138372093,-8.71334630100837,2.03021089417341e-13,5.65489866935826e-10,-4.2460527537978
"211696_x_at","HBB",-5028.4016744186,4896.9703255814,-7.30169230548528,1.39804329745248e-10,5.46536821002344e-08,-4.31181490012681
"209116_x_at","HBB",-4812.90922325581,3493.39432790698,-7.14879114605344,2.8074761850331e-10,9.33716295986458e-08,-4.31940619940449
"204151_x_at","AKR1C1",-4485.93886046512,4535.65096511628,-7.98573624554934,5.99109214202624e-12,4.92162919149417e-09,-4.27892693305332
"211745_x_at","HBA1",-4373.90390697674,3023.9336744186,-6.58247625359205,3.60205611214733e-09,7.4362335846697e-07,-4.34818797857899
"207175_at","ADIPOQ",-4117.25534883721,3796.40830232558,-8.6146417692863,3.2168106703525e-13,7.16801921674648e-10,-4.2503785368895
"209699_x_at","AKR1C2",-4107.89393953488,3408.4834255814,-8.90466934905897,8.31584566807645e-14,3.08836648369579e-10,-4.2377897954658
"214414_x_at","HBA1",-4092.50253488372,3677.67687209302,-7.54162232017262,4.65498606031427e-11,2.11687866085679e-08,-4.30007350641292
"205382_s_at","CFD",-4092.26366046512,2848.98001860465,-8.65328124256812,2.68650766580366e-13,6.65149447967811e-10,-4.24868006079208
"217232_x_at","HBB",-4011.5678372093,3661.96115116279,-6.84705784296653,1.10062046027367e-09,2.81897996738829e-07,-4.33461837323443
