"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"207793_s_at","EPB41",-0.504440370219821,5.68835672387855,-4.76525005899358,2.83833580411766e-06,0.0208653498074369,4.18403329629512
"212797_at","SORT1",-0.524132026500418,7.31998682141351,-4.44293494008912,1.21506311710914e-05,0.0302041613031045,2.92085762911085
"224361_s_at","IL17RB",-0.541681014600305,8.77681763031298,-4.27152881748922,2.54628656415525e-05,0.0345524283379703,2.28064445843662
"243358_at","IGF1R",-0.806937278510081,7.11536876241206,-4.24326924797473,2.87012321993472e-05,0.0345524283379703,2.17722850680082
"1558437_at","IGHE",0.726499856205343,3.80146303071752,4.22783144084813,3.06327493698653e-05,0.0345524283379703,2.12099069289013
"244035_at",NA,-0.706864797587818,6.4710006987286,-4.22379915060856,3.11573344748996e-05,0.0345524283379703,2.10633154772203
"205440_s_at","NPY1R",-1.39894211458204,9.50174383893147,-4.19362992615999,3.53633826405808e-05,0.0358020942885458,1.99704715398217
"206482_at","PTK6",0.678618145781554,8.51851706118718,4.18249633000542,3.70482758426367e-05,0.0359828417808013,1.95689284375338
"206560_s_at","MIA",-0.794300888269142,7.66440617711568,-4.14653596994559,4.30289600056569e-05,0.0378579495137615,1.82784743236966
"238915_at","SMIM10L1",-0.609984896906367,5.64049213316126,-4.1287552062258,4.63157933673674e-05,0.0389245052966028,1.76440710585218
"1555457_at","BRINP1",-0.613990331714311,3.42853325985837,-4.102124814526,5.16892552723989e-05,0.0411548106911363,1.66984696906296
"234552_at","EPPK1",0.888549345538872,6.31698664298247,4.08700792650052,5.49983911721049e-05,0.0419568263135704,1.6164125463308
